Label,E2
106.0,-0.5284910102
106.5,-0.5287105042
107.0,-0.528929438
107.5,-0.529147657
108.0,-0.5293651404
108.5,-0.5295938658
109.0,-0.5298103589
109.5,-0.5300237636
110.0,-0.5302365197
110.5,-0.5304488307
111.0,-0.5306605273
111.5,-0.5308718513
112.0,-0.5310825639
112.5,-0.5312926316
113.0,-0.5315041098
113.5,-0.531712633
114.0,-0.5319204085
114.5,-0.5321302476
115.0,-0.5323364126
115.5,-0.5325419425
116.0,-0.5327467633
116.5,-0.5329519286
117.0,-0.5331572984
117.5,-0.5333590323
118.0,-0.5335578833
118.5,-0.5337553297
119.0,-0.5339549675
119.5,-0.534159151
120.0,-0.5343574178
120.5,-0.5345548246
121.0,-0.5347512079
121.5,-0.5349512062
122.0,-0.5351459247
122.5,-0.5353395039
123.0,-0.5355399247
123.5,-0.5357400709
124.0,-0.5359446908
124.5,-0.5361540175
125.0,-0.536287202
125.5,-0.5364733275
126.0,-0.5366571402
126.5,-0.536839443
127.0,-0.5370200367
127.5,-0.5371988656
128.0,-0.5373714452
128.5,-0.5375461085
129.0,-0.537728684
129.5,-0.5379000173
130.0,-0.5380689343
130.5,-0.5382356703
131.0,-0.5383999692
131.5,-0.5385615694
132.0,-0.5387204773
132.5,-0.5388766608
133.0,-0.5390246381
133.5,-0.5391752618
134.0,-0.5393219162
134.5,-0.5394660135
135.0,-0.5396066927
135.5,-0.5397432804
136.0,-0.5398807494
136.5,-0.5400132129
137.0,-0.5401403444
137.5,-0.5402622249
138.0,-0.5403788003
138.5,-0.5404924858
139.0,-0.5406071806
139.5,-0.5407048629
140.0,-0.5408060145
140.5,-0.5409024883
141.0,-0.5409938886
141.5,-0.5410801161
142.0,-0.5411608801
142.5,-0.5412347055
143.0,-0.5412700432
143.5,-0.5413734955
144.0,-0.5414287233
144.5,-0.5414795792
145.0,-0.5415242732
145.5,-0.5415619567
146.0,-0.5415896198
146.5,-0.5416207292
147.0,-0.5416252363
147.5,-0.5416363506
148.0,-0.5416386902
148.5,-0.5416069536
149.0,-0.541612123
149.5,-0.5415877007
150.0,-0.5415544279
150.5,-0.5415144184
151.0,-0.5414610669
151.5,-0.5413974024
152.0,-0.5413262051
152.5,-0.5412422467
153.0,-0.5411518039
153.5,-0.5410512834
154.0,-0.5409404669
154.5,-0.5408235298
155.0,-0.5406923809
155.5,-0.5422779328
156.0,-0.5405499852
156.5,-0.5402367745
157.0,-0.5400640596
157.5,-0.539880156
158.0,-0.539689197
158.5,-0.5394792198
159.0,-0.5392631292
159.5,-0.5390365573
160.0,-0.5388021825
160.5,-0.5385511275
161.0,-0.5382975517
161.5,-0.538032017
162.0,-0.5377611373
162.5,-0.5374764342
163.0,-0.5371841814
163.5,-0.5368862184
164.0,-0.5365801091
164.5,-0.5362720026
165.0,-0.5359533876
165.5,-0.5356318338
166.0,-0.5353070649
166.5,-0.5349786531
167.0,-0.5346498071
167.5,-0.5343165396
168.0,-0.533984916
168.5,-0.5336598418
169.0,-0.5333242226
169.5,-0.5329976924
170.0,-0.5326776047
170.5,-0.5323601291
171.0,-0.5320514385
171.5,-0.5317533978
172.0,-0.53146012
172.5,-0.5311814049
173.0,-0.5309105409
173.5,-0.5306543661
174.0,-0.5304121869
174.5,-0.5301847625
175.0,-0.5299736598
175.5,-0.529777021
176.0,-0.5295808788
176.5,-0.5294403624
177.0,-0.5293033209
177.5,-0.5291868734
178.0,-0.5290891374
178.5,-0.5290113017
179.0,-0.5289570642
179.5,-0.5289240144
180.0,-0.5289130304
180.5,-0.5289242777
