,Label,SCF
0,106.0,-224.58434725
1,106.5,-224.5850898
2,107.0,-224.58577912
3,107.5,-224.58641639
4,108.0,-224.58700251
5,108.5,-224.58753861
6,109.0,-224.58802553
7,109.5,-224.58846411
8,110.0,-224.5888555
9,110.5,-224.58920041
10,111.0,-224.58949981
11,111.5,-224.5897543
12,112.0,-224.58996493
13,112.5,-224.59013241
14,113.0,-224.59025749
15,113.5,-224.59034076
16,114.0,-224.59038319
17,114.5,-224.59038537
18,115.0,-224.59034795
19,115.5,-224.59027163
20,116.0,-224.59015703
21,116.5,-224.59000477
22,117.0,-224.58981548
23,117.5,-224.58958982
24,118.0,-224.58932817
25,118.5,-224.58903145
26,119.0,-224.58869988
27,119.5,-224.58833413
28,120.0,-224.58793491
29,120.5,-224.58750239
30,121.0,-224.58703723
31,121.5,-224.58654012
32,122.0,-224.58601134
33,122.5,-224.58545137
34,123.0,-224.58486085
35,123.5,-224.58424004
36,124.0,-224.58358936
37,124.5,-224.5829094
38,125.0,-224.5822008
39,125.5,-224.58146364
40,126.0,-224.58069856
41,126.5,-224.57990576
42,127.0,-224.57908584
43,127.5,-224.57823921
44,128.0,-224.57736604
45,128.5,-224.57646721
46,129.0,-224.57554261
47,129.5,-224.5745929
48,130.0,-224.57361861
49,130.5,-224.57261975
50,131.0,-224.5715969
51,131.5,-224.57055068
52,132.0,-224.56948112
53,132.5,-224.56838878
54,133.0,-224.56727394
55,133.5,-224.56613731
56,134.0,-224.56497876
57,134.5,-224.56379906
58,135.0,-224.5625984
59,135.5,-224.56137732
60,136.0,-224.56013616
61,136.5,-224.55887519
62,137.0,-224.55759517
63,137.5,-224.5562962
64,138.0,-224.55497854
65,138.5,-224.55364301
66,139.0,-224.55228982
67,139.5,-224.5509193
68,140.0,-224.54953216
69,140.5,-224.54812851
70,141.0,-224.54670882
71,141.5,-224.54527389
72,142.0,-224.54382377
73,142.5,-224.54235928
74,143.0,-224.54087909
75,143.5,-224.53938845
76,144.0,-224.53788321
77,144.5,-224.53636528
78,145.0,-224.53483534
79,145.5,-224.5332939
80,146.0,-224.53174148
81,146.5,-224.53017861
82,147.0,-224.52860585
83,147.5,-224.52702372
84,148.0,-224.52543349
85,148.5,-224.52383457
86,149.0,-224.52222866
87,149.5,-224.52061593
88,150.0,-224.51899714
89,150.5,-224.51737272
90,151.0,-224.51574403
91,151.5,-224.51411127
92,152.0,-224.51247524
93,152.5,-224.51083713
94,153.0,-224.509197
95,153.5,-224.50755636
96,154.0,-224.50591574
97,154.5,-224.50427626
98,155.0,-224.50263862
99,155.5,-224.50030589
100,156.0,-224.49936649
101,156.5,-224.49774586
102,157.0,-224.49612503
103,157.5,-224.49451094
104,158.0,-224.49290488
105,158.5,-224.49130766
106,159.0,-224.48972034
107,159.5,-224.48814431
108,160.0,-224.48658043
109,160.5,-224.4850303
110,161.0,-224.48349483
111,161.5,-224.48197534
112,162.0,-224.48047302
113,162.5,-224.47898958
114,163.0,-224.4775257
115,163.5,-224.47608344
116,164.0,-224.47466331
117,164.5,-224.47326733
118,165.0,-224.47189679
119,165.5,-224.47055311
120,166.0,-224.46923754
121,166.5,-224.46795165
122,167.0,-224.46669665
123,167.5,-224.46547413
124,168.0,-224.4642854
125,168.5,-224.46313207
126,169.0,-224.46201559
127,169.5,-224.46093701
128,170.0,-224.45989784
129,170.5,-224.45889981
130,171.0,-224.4579438
131,171.5,-224.45703118
132,172.0,-224.45616326
133,172.5,-224.45534121
134,173.0,-224.45456635
135,173.5,-224.4538396
136,174.0,-224.45316218
137,174.5,-224.45253511
138,175.0,-224.45195922
139,175.5,-224.45143537
140,176.0,-224.45096325
141,176.5,-224.45054716
142,177.0,-224.45018419
143,177.5,-224.44987606
144,178.0,-224.44962331
145,178.5,-224.44942629
146,179.0,-224.44928534
147,179.5,-224.44920065
148,180.0,-224.44917242
149,180.5,-224.44920065
